ID;NOMBRE;PUESTO
1;José María Vicedo;Editor
2;Mauro Moya;Ilustrador
3;Manuel Lage;Redactor
4;David de Jong;Fotógrafo
5;Dino Dalla Carbonare;Redactor
6;José Ángel Pereda;Director de contenido
7;Keith Adams;Redactor
8;Matthew Howell;Fotógrafo
9;John Simister;Redactor
10;Alex Howe;Fotógrafo
11;José Manuel Sánchez Serrano;Redactor
12;Javier López Romo;Redactor
13;Guillermo Martínez;Redactor
14;Máximo Sant;Redactor
15;Cornell Lin;Ilustrador
16;Kevin Van Campenhout;Fotógrafo
17;Alfonso Pérez Dorado;Fotógrafo
18;Jan Hütz;Fotógrafo
19;Josh Bryan;Fotógrafo
20;José Bueno;Fotógrafo
21;Giles Chapman;Redactor
22;Axel E. Catton;Redactor
23;Stan Papior Liberti;Fotógrafo
24;Javi Martín;Redactor
25;Sito Fernández;Fotógrafo
26;Joanne Fay;Ilustrador
27;Gérald Guétat;Redactor
28;Henri Thibault;Fotógrafo
29;Dejan Marinkovic;Fotógrafo
30;Morgan Segal;Fotógrafo
31;Rémi Dargegen;Fotógrafo
32;David Pérez Maza;Redactor
33;Charlie Magee;Fotógrafo
34;Alan Derosier;Ilustrador
35;Andrew Frankel;Redactor
36;Tim Andrew;Fotógrafo
37;Paul Hardiman;Redactor
38;Ashley Border;Fotógrafo
39;Willy Fog;Redactor
40;Richard Heseltine;Redactor
41;Mark Dixon;Fotógrafo
42;Jamie Lipman;Fotógrafo
43;Ana Pomar;Redactor
44;Luis Ángel González;Redactor
45;Arturo de Andrés;Redactor
46;Paul Harmer;Fotógrafo
47;Sergio Calleja Carcedo;Redactor
48;Tete Navarro;Ilustrador
49;Federico Vandone dell'Acqua;Fotógrafo
50;Ton Roks;Redactor
51;Vincent Knoops;Fotógrafo
52;Elvira Veloso;Redactor
53;Manu Campa;Ilustrador
54;Fernando Hoyos;Fotógrafo
55;Massimo Delbò;Redactor
56;Max Serra;Fotógrafo
57;Ivan Ostroff;Redactor
58;Gus Gregory;Fotógrafo
59;Miro Porochnavy;Ilustrador
60;Juan José Poza;Redactor
61;Paco Barceló;Fotógrafo
62;Julius Schulman;Fotógrafo
63;Winston Goodfellow;Redactor
64;Darin Schnabel;Fotógrafo
65;James Page;Redactor
66;Christian Martin;Fotógrafo
67;Yan-Alexandre Damasiewicz;Redactor
68;Jaden Low;Fotógrafo
69;Rafael Gago de la Mata;Redactor
70;Rawfotosport;Fotógrafo
71;Greg Jarem;Fotógrafo
72;Robert Coucher; Redactor
