NÚMERO;PERIODO;AÑO;PORTADA;ILUSTRADOR;COLOR1;COLOR2;IMPRESIÓN;EDICIÓN
1;Invierno;2021;Lamborghini Countach;Mauro Moya;Amarillo;Verde;Quinta;Especial
2;Primavera;2021;Datsun Z;Cornell Lin;Blanco;Rojo;Quinta;Normal
3;Verano;2021;Ford Mustang;Joanne Fay;Azul;Violeta;Quinta;Normal
4;Otoño;2021;Porsche 911;Alan Derosier;Rosa;Blanco;Quinta;Normal
5;Invierno;2022;Ferrari Daytona 365 GTB/4;Mauro Moya;Rojo;Amarillo;Quinta;Normal
6;Primavera;2022;McLaren F1;Tete Navarro;Marrón;Naranja;;Normal
7;Verano;2022;Mercedes 300 SL;Manu Campa;Verde;Crudo;Quinta;Normal
8;Otoño;2022;BMW M1;Mauro Moya;Negro;Azul;Quinta;Normal
9;Invierno;2023;Chevrolet Corvette C3;Miro Porochnavy;Verde;Crudo;Quinta;Normal
10;Primavera;2023;Ferrari Testarossa;Mauro Moya;Oro;Violeta;Quinta;Especial
